기간	자치구	동	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원
기간	자치구	동	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장
2019	강서구	가양1동	948	121	-	-	110	215	-	502	866	118	-	-	108	211	-	429
2019	강서구	가양2동	352	282	-	-	39	31	-	-	273	209	-	-	35	29	-	-
2019	강서구	가양3동	371	111	-	-	144	116	-	-	311	86	-	-	117	108	-	-
2019	강서구	발산1동	1,458	375	99	-	574	360	20	30	1,221	351	84	-	478	284	15	9
2019	강서구	공항동	1,043	440	173	-	40	305	-	85	888	412	164	-	-	261	-	51
2019	강서구	방화1동	1,509	632	-	-	455	422	-	-	1,378	602	-	-	384	392	-	-
2019	강서구	방화2동	561	116	-	-	350	95	-	-	531	110	-	-	333	88	-	-
2019	강서구	방화3동	704	172	-	-	446	86	-	-	602	160	-	-	357	85	-	-
2019	강서구	화곡1동	1,175	183	-	-	907	85	-	-	1,074	173	-	-	825	76	-	-
2019	강서구	우장산동	1,109	271	-	-	451	368	-	19	939	261	-	-	358	303	-	17
2019	구로구	소계	13,058	4,597	299	432	4,734	2,372	98	526	11,436	4,237	279	366	3,980	2,123	97	354
2019	구로구	신도림동	964	220	-	-	445	299	-	-	937	216	-	-	425	296	-	-
