기간	자치구	동	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분
기간	자치구	동	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수
기간	자치구	동	계	국공립	법인	민간	민간	민간	부모협동	직장	가정	계	국공립	법인	민간	민간	민간	부모협동	직장	가정
기간	자치구	동	계	국공립	법인	계	개인	단체(법인외)	부모협동	직장	가정	계	국공립	법인	계	개인	단체(법인외)	부모협동	직장	가정
2011	서대문구	충현동	838	40	-	688	658	30	-	90	20	668	38	-	540	518	22	-	74	16
2011	서대문구	북아현동	482	201	-	243	243	-	-	-	38	331	174	-	119	119	-	-	-	38
2011	서대문구	신촌동	464	88	-	52	-	52	-	307	17	385	86	-	50	-	50	-	234	15
2011	서대문구	연희동	680	310	-	287	287	-	-	49	34	629	296	-	259	259	-	-	42	32
2011	마포구	소계	8,210	2,822	-	3,586	2,624	962	134	261	1,407	7,277	2,604	-	3,195	2,435	760	108	186	1,184
2011	마포구	용강동	279	42	-	160	49	111	-	-	77	258	41	-	141	48	93	-	-	76
2011	마포구	대흥동	170	79	-	60	-	60	-	-	31	108	65	-	20	-	20	-	-	23
2011	마포구	염리동	535	111	-	360	177	183	-	45	19	446	105	-	302	150	152	-	21	18
2011	마포구	신수동	511	283	-	153	113	40	-	-	75	420	242	-	128	97	31	-	-	50
2011	마포구	서교동	332	200	-	100	-	100	-	-	32	270	188	-	56	-	56	-	-	26
2011	마포구	합정동	308	79	-	143	143	-	-	-	86	257	77	-	123	123	-	-	-	57
2011	마포구	망원1동	661	111	-	366	214	152	39	-	145	532	91	-	311	208	103	29	-	101
2011	마포구	망원2동	451	106	-	209	209	-	-	-	136	414	102	-	193	193	-	-	-	119
2011	마포구	연남동	434	75	-	319	319	-	-	-	40	418	74	-	312	312	-	-	-	32
2011	마포구	성산1동	337	49	-	157	157	-	76	-	55	309	49	-	148	148	-	60	-	52
2011	마포구	성산2동	1,144	355	-	458	418	40	19	108	204	1,048	335	-	413	374	39	19	105	176
2011	마포구	상암동	963	213	-	516	368	148	-	48	186	917	201	-	507	362	145	-	30	179
2011	마포구	도화동	397	271	-	20	-	20	-	20	86	355	259	-	16	-	16	-	5	75
2011	마포구	서강동	669	368	-	239	170	69	-	-	62	624	337	-	236	169	67	-	-	51
2011	마포구	공덕동	589	315	-	172	172	-	-	-	102	520	286	-	143	143	-	-	-	91
2011	마포구	아현동	430	165	-	154	115	39	-	40	71	381	152	-	146	108	38	-	25	58
2011	양천구	소계	12,107	2,853	-	6,304	5,942	362	16	177	2,757	10,678	2,513	-	5,600	5,329	271	16	118	2,431
2011	양천구	목1동	444	134	-	148	108	40	-	45	117	388	123	-	132	98	34	-	31	102
2011	양천구	목2동	837	198	-	452	412	40	-	34	153	695	182	-	370	337	33	-	31	112
2011	양천구	목3동	407	79	-	238	199	39	-	-	90	370	77	-	213	176	37	-	-	80
2011	양천구	목4동	613	111	-	393	393	-	-	-	109	532	106	-	321	321	-	-	-	105
2011	양천구	신월1동	1,121	144	-	822	739	83	-	-	155	966	127	-	704	621	83	-	-	135
